,benchmark,run,total_time,top_kernel_time_percent,top_kernel_time_ms,top_kernel_calls,top_kernel_avg,top_kernel_min,top_kernel_max,top_kernel_sig,device,power_profiling_count,avg_mW,min_mW,max_mW
0,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-f', '../../data/gaussian/matrix4.txt']",0.026279271465741542,34.59,0.00909,3,0.00303,0.0023,0.00445,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",4,65125.0,63466.0,69056.0
1,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-s', '16']",0.08425494505494506,45.5,0.038336,15,0.00255,0.0023,0.00355,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",4,65102.25,63376.0,68866.0
2,/home/st1289/rodinia_3.1/cuda/hotspot3D,"['./3D', '512', '8', '100', '../../data/hotspot3D/power_512x8', '../../data/hotspot3D/temp_512x8', 'output.out']",32.113342503438794,87.24,28.01568,100,0.280156,0.279586,0.281602,"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float,","Device ""Tesla K40c (0)""",88,78899.98,64320.0,103059.0
3,/home/st1289/rodinia_3.1/cuda/backprop,"['./backprop', '65536']",2.5625711329539578,57.99,1.486035,5,0.297207,0.00125,0.510215,[CUDA memcpy,"Device ""Tesla K40c (0)""",3,64509.0,63466.0,65552.0
4,/home/st1289/rodinia_3.1/cuda/nw,"['./needle', '2048', '10']",12.827308319738988,30.65,3.93157,2,1.965785,1.91948,2.01209,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,66041.5,64319.0,69884.0
5,/home/st1289/rodinia_3.1/cuda/leukocyte/CUDA,"['./leukocyte', '../../../data/leukocyte/testfile.avi', '10']",415.9486364568382,97.54,405.7163,10,40.57163,39.51252,41.58259,"IMGVF_kernel(float**, float**, int*, int*, float, float, float, int,","Device ""Tesla K40c (0)""",15,95670.0,63657.0,114948.0
6,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/fvcorr.domn.097K', '', '', '']",5239.758653540806,94.47,4950.0,6000,0.824722,0.799878,0.859047,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",150,125688.55,63752.0,145718.0
7,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/fvcorr.domn.193K', '', '', '']",10380.77004892576,94.02,9760.0,6000,1.626153,1.603308,1.666189,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",271,132222.55,64039.0,149012.0
8,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/missile.domn.0.2M', '', '']",12460.40126715945,94.7,11800.0,6000,1.96825,1.93592,2.008049,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",320,126833.65,64510.0,146939.0
9,/home/st1289/rodinia_3.1/cuda/srad/srad_v1,"['./srad', '100', '0.5', '502', '458']",22.28062667261374,44.84,9.990633,200,0.049953,0.045952,0.054176,"reduce(long, int, int, float*,","Device ""Tesla K40c (0)""",5,72740.6,63657.0,90025.0
10,/home/st1289/rodinia_3.1/cuda/nn,"['./nn', 'filelist_4', '-r', '5', '-lat', '30', '-lng', '90']",0.059235412474849085,59.64,0.035328,1,0.035328,0.035328,0.035328,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65479.5,63752.0,68960.0
11,/home/st1289/rodinia_3.1/cuda/kmeans,"['./kmeans', '-o', '-i', '../../data/kmeans/kdd_cup', '']",32.416525423728814,35.4,11.47545,5,2.295089,0.0008,10.83668,[CUDA memcpy,"Device ""Tesla K40c (0)""",28,63699.75,63467.0,66401.0
12,/home/st1289/rodinia_3.1/cuda/myocyte,"['./myocyte.out', '100', '1', '0']",386.51189970250743,94.12,363.785,3939,0.092354,0.088353,0.119329,"kernel(int, float*, float*, float*,","Device ""Tesla K40c (0)""",25,76063.72,63752.0,78570.0
13,/home/st1289/rodinia_3.1/cuda/b+tree,"['./b+tree.out', 'file', '../../data/b+tree/mil.txt', 'command', '../../data/b+tree/command.txt']",5.7081511111111105,78.75,4.495169,15,0.299677,0.00486,2.077488,[CUDA memcpy,"Device ""Tesla K40c (0)""",33,63733.21,63372.0,68652.0
14,/home/st1289/rodinia_3.1/cuda/hotspot,"['./hotspot', '512', '2', '2', '../../data/hotspot/temp_512', '../../data/hotspot/power_512', 'output.out']",0.5396118986753428,43.03,0.232195,1,0.232195,0.232195,0.232195,"calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float,","Device ""Tesla K40c (0)""",8,71933.25,64793.0,78732.0
15,/home/st1289/rodinia_3.1/cuda/streamcluster,"['./sc_gpu', '10', '20', '256', '65536', '65536', '1000', 'none', 'output.txt', '1']",1441.2843337669578,53.81,775.5551,1611,0.481412,0.463523,0.513028,"kernel_compute_cost(int, int, long, Point*, int, int, float*, float*, int*,","Device ""Tesla K40c (0)""",103,89662.84,63466.0,102277.0
16,/home/st1289/rodinia_3.1/cuda/particlefilter,"['./particlefilter_naive', '-x', '128', '-y', '128', '-z', '10', '-np', '1000']",1.9932087023067673,91.47,1.823188,9,0.202576,0.042273,0.309827,"kernel(double*, double*, double*, double*, double*, double*,","Device ""Tesla K40c (0)""",4,66019.25,63470.0,70925.0
17,/home/st1289/rodinia_3.1/cuda/particlefilter,"['./particlefilter_float', '-x', '128', '-y', '128', '-z', '10', '-np', '1000']",8.69852481491637,36.47,3.172352,9,0.352483,0.345059,0.356835,"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*,","Device ""Tesla K40c (0)""",4,66160.25,63466.0,71399.0
18,/home/st1289/rodinia_3.1/cuda/lavaMD,"['./lavaMD', '-boxes1d', '10']",164.37216567570292,99.23,163.1065,1,163.1065,163.1065,163.1065,"kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*,","Device ""Tesla K40c (0)""",8,96864.0,64415.0,148913.0
19,/home/st1289/rodinia_3.1/cuda/hybridsort,"['./hybridsort', 'r']",151.90166919575114,65.9,100.1032,44,2.275071,0.611367,3.509512,"mergeSortPass(float4*, int,","Device ""Tesla K40c (0)""",8,83180.5,64793.0,109887.0
20,/home/st1289/rodinia_3.1/cuda/bfs,"['./bfs', '../../data/bfs/graph1MW_6.txt']",11.783167611040028,54.71,6.446571,12,0.537214,0.037696,3.143269,"Kernel(Node*, int*, bool*, bool*, bool*, int*,","Device ""Tesla K40c (0)""",7,71681.57,64415.0,79955.0
21,/home/st1289/rodinia_3.1/cuda/heartwall,"['./heartwall', '../../data/heartwall/test.avi', '20']",806.2615817505776,99.51,802.3109,20,40.11555,0.023616,42.26745,,"Device ""Tesla K40c (0)""",22,99416.09,63657.0,111300.0
22,/home/st1289/rodinia_3.1/cuda/srad/srad_v2,"['./srad', '2048', '2048', '0', '127', '0', '127', '0.5', '2']",12.212123893805312,33.9,4.13991,2,2.069955,2.028467,2.111443,[CUDA memcpy,"Device ""Tesla K40c (0)""",9,71344.0,63657.0,77906.0
23,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', '192.bmp', '-d', '192x192', '-f', '-5', '-l', '3']",0.2504827759617802,39.77,0.099617,9,0.011068,0.00899,0.015264,"void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int,","Device ""Tesla K40c (0)""",4,65882.25,64605.0,68203.0
24,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', 'rgb.bmp', '-d', '1024x1024', '-f', '-5', '-l', '3']",2.501216520139031,48.91,1.223345,3,0.407781,0.405029,0.409574,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,66113.25,64605.0,69505.0
