,benchmark,run,total_time,top_kernel_time_percent,top_kernel_time_ms,top_kernel_calls,top_kernel_avg,top_kernel_min,top_kernel_max,top_kernel_sig,device,power_profiling_count,avg_mW,min_mW,max_mW
0,/home/st1289/rodinia_3.1/cuda/backprop,"['./backprop', '65536']",2.5697094307561597,58.85,1.512274,5,0.302454,0.00122,0.521414,[CUDA memcpy,"Device ""Tesla K40c (0)""",5,66920.4,63562.0,73558.0
1,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-f', '../../data/gaussian/matrix4.txt']",0.026249265138154024,34.02,0.00893,3,0.00298,0.00237,0.00419,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",4,65077.25,63657.0,67729.0
2,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-s', '16']",0.08393892794376097,45.52,0.038209,15,0.00255,0.00234,0.00355,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",4,65521.5,63657.0,69884.0
3,/home/st1289/rodinia_3.1/cuda/leukocyte/CUDA,"['./leukocyte', '../../../data/leukocyte/testfile.avi', '10']",418.9012836185819,98.16,411.1935,10,41.11935,40.02223,42.19944,"IMGVF_kernel(float**, float**, int*, int*, float, float, float, int,","Device ""Tesla K40c (0)""",16,94286.62,63657.0,115514.0
4,/home/st1289/rodinia_3.1/cuda/b+tree,"['./b+tree.out', 'file', '../../data/b+tree/mil.txt', 'command', '../../data/b+tree/command.txt']",5.414477842003853,77.85,4.215171,15,0.281011,0.00483,1.950608,[CUDA memcpy,"Device ""Tesla K40c (0)""",33,63747.97,63372.0,70074.0
5,/home/st1289/rodinia_3.1/cuda/hotspot,"['./hotspot', '512', '2', '2', '../../data/hotspot/temp_512', '../../data/hotspot/power_512', 'output.out']",0.4173501320869742,49.21,0.205378,2,0.102689,0.102657,0.102721,[CUDA memcpy,"Device ""Tesla K40c (0)""",8,70689.0,63756.0,77622.0
6,/home/st1289/rodinia_3.1/cuda/srad/srad_v2,"['./srad', '2048', '2048', '0', '127', '0', '127', '0.5', '2']",11.906481211768131,34.33,4.087495,2,2.043747,2.021075,2.06642,[CUDA memcpy,"Device ""Tesla K40c (0)""",10,72167.1,63657.0,77973.0
7,/home/st1289/rodinia_3.1/cuda/lavaMD,"['./lavaMD', '-boxes1d', '10']",66.55726077652095,98.13,65.31264,1,65.31264,65.31264,65.31264,"kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*,","Device ""Tesla K40c (0)""",6,79167.5,63752.0,119818.0
8,/home/st1289/rodinia_3.1/cuda/kmeans,"['./kmeans', '-o', '-i', '../../data/kmeans/kdd_cup', '']",32.4601299802204,35.39,11.48764,5,2.297528,0.000799,10.84839,[CUDA memcpy,"Device ""Tesla K40c (0)""",25,63702.32,63452.0,66401.0
9,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', '192.bmp', '-d', '192x192', '-f', '-5', '-l', '3']",0.24867150362772078,39.97,0.099394,9,0.011043,0.00893,0.015616,"void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int,","Device ""Tesla K40c (0)""",4,65362.25,63657.0,68771.0
10,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', 'rgb.bmp', '-d', '1024x1024', '-f', '-5', '-l', '3']",2.5121971252566735,48.7,1.22344,3,0.407813,0.406437,0.40871,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65385.25,63657.0,68866.0
11,/home/st1289/rodinia_3.1/cuda/hybridsort,"['./hybridsort', 'r']",122.34195223260643,57.78,70.68918,44,1.606572,0.229826,2.56265,"mergeSortPass(float4*, int,","Device ""Tesla K40c (0)""",8,79751.62,63752.0,108751.0
12,/home/st1289/rodinia_3.1/cuda/srad/srad_v1,"['./srad', '100', '0.5', '502', '458']",21.647097737942808,46.86,10.14383,200,0.050719,0.045184,0.056609,"reduce(long, int, int, float*,","Device ""Tesla K40c (0)""",6,72445.17,63752.0,86718.0
13,/home/st1289/rodinia_3.1/cuda/bfs,"['./bfs', '../../data/bfs/graph1MW_6.txt']",12.115729343120648,53.13,6.437087,12,0.536423,0.037536,3.143103,"Kernel(Node*, int*, bool*, bool*, bool*, int*,","Device ""Tesla K40c (0)""",9,73721.33,63752.0,80619.0
14,/home/st1289/rodinia_3.1/cuda/hotspot3D,"['./3D', '512', '8', '100', '../../data/hotspot3D/power_512x8', '../../data/hotspot3D/temp_512x8', 'output.out']",32.08087494273935,87.32,28.01302,100,0.28013,0.279458,0.281699,"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float,","Device ""Tesla K40c (0)""",91,78281.07,63752.0,100543.0
15,/home/st1289/rodinia_3.1/cuda/nw,"['./needle', '2048', '10']",13.300065015479877,32.3,4.295921,1,4.295921,4.295921,4.295921,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,67362.75,63846.0,73652.0
16,/home/st1289/rodinia_3.1/cuda/nn,"['./nn', 'filelist_4', '-r', '5', '-lat', '30', '-lng', '90']",0.059716024340770786,59.16,0.035328,1,0.035328,0.035328,0.035328,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65102.0,63756.0,67634.0
17,/home/st1289/rodinia_3.1/cuda/myocyte,"['./myocyte.out', '100', '1', '0']",380.6417862838916,94.05,357.9936,3926,0.091185,0.087713,0.116065,"kernel(int, float*, float*, float*,","Device ""Tesla K40c (0)""",23,76036.74,63846.0,78920.0
18,/home/st1289/rodinia_3.1/cuda/heartwall,"['./heartwall', '../../data/heartwall/test.avi', '20']",804.8107918006432,99.52,800.9477,20,40.04738,0.024224,42.18679,,"Device ""Tesla K40c (0)""",22,98129.55,63756.0,111432.0
