,benchmark,run,total_time,top_kernel_time_percent,top_kernel_time_ms,top_kernel_calls,top_kernel_avg,top_kernel_min,top_kernel_max,top_kernel_sig,device,power_profiling_count,avg_mW,min_mW,max_mW
0,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', '192.bmp', '-d', '192x192', '-f', '-5', '-l', '3']",0.24666581502299437,39.14,0.096545,9,0.010727,0.00854,0.015136,"void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int,","Device ""Tesla K40c (0)""",4,65309.25,63466.0,69033.0
1,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', 'rgb.bmp', '-d', '1024x1024', '-f', '-5', '-l', '3']",2.493880081300813,49.2,1.226989,3,0.408996,0.408164,0.409924,[CUDA memcpy,"Device ""Tesla K40c (0)""",5,66792.6,63657.0,73368.0
2,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-f', '../../data/gaussian/matrix4.txt']",0.026039260969976906,34.64,0.00902,3,0.00301,0.0023,0.00438,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",4,64841.0,63657.0,67256.0
3,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-s', '16']",0.08498894294559929,45.22,0.038432,15,0.00256,0.00234,0.00333,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",3,65109.0,63657.0,67256.0
4,/home/st1289/rodinia_3.1/cuda/heartwall,"['./heartwall', '../../data/heartwall/test.avi', '20']",464.7576399394856,99.15,460.8072,20,23.04036,0.016801,24.27208,,"Device ""Tesla K40c (0)""",18,91005.83,63657.0,115175.0
5,/home/st1289/rodinia_3.1/cuda/backprop,"['./backprop', '65536']",2.613783783783784,58.46,1.528018,5,0.305603,0.00131,0.530982,[CUDA memcpy,"Device ""Tesla K40c (0)""",3,64288.0,63752.0,64603.0
6,/home/st1289/rodinia_3.1/cuda/b+tree,"['./b+tree.out', 'file', '../../data/b+tree/mil.txt', 'command', '../../data/b+tree/command.txt']",5.134405585279917,76.63,3.934495,15,0.262299,0.00486,1.809423,[CUDA memcpy,"Device ""Tesla K40c (0)""",33,63739.67,63468.0,66590.0
7,/home/st1289/rodinia_3.1/cuda/myocyte,"['./myocyte.out', '100', '1', '0']",338.31836690955856,93.32,315.7187,3900,0.080953,0.077057,0.107073,"kernel(int, float*, float*, float*,","Device ""Tesla K40c (0)""",24,76127.62,63752.0,78758.0
8,/home/st1289/rodinia_3.1/cuda/hybridsort,"['./hybridsort', 'r']",122.23122618635261,57.74,70.57631,44,1.604007,0.226722,2.561723,"mergeSortPass(float4*, int,","Device ""Tesla K40c (0)""",7,77779.14,63752.0,102550.0
9,/home/st1289/rodinia_3.1/cuda/hotspot,"['./hotspot', '512', '2', '2', '../../data/hotspot/temp_512', '../../data/hotspot/power_512', 'output.out']",0.4181740196078431,48.96,0.204738,2,0.102369,0.102049,0.102689,[CUDA memcpy,"Device ""Tesla K40c (0)""",9,71943.0,63657.0,77812.0
10,/home/st1289/rodinia_3.1/cuda/particlefilter,"['./particlefilter_naive', '-x', '128', '-y', '128', '-z', '10', '-np', '1000']",3.05596888559636,94.49,2.887585,9,0.320842,0.186178,0.364452,"kernel(double*, double*, double*, double*, double*, double*,","Device ""Tesla K40c (0)""",4,64959.25,63752.0,67067.0
11,/home/st1289/rodinia_3.1/cuda/particlefilter,"['./particlefilter_float', '-x', '128', '-y', '128', '-z', '10', '-np', '1000']",8.319379757541583,35.47,2.950884,9,0.327876,0.327684,0.328068,"normalize_weights_kernel(double*, int, double*, double*, double*,","Device ""Tesla K40c (0)""",4,65687.25,63752.0,69979.0
12,/home/st1289/rodinia_3.1/cuda/kmeans,"['./kmeans', '-o', '-i', '../../data/kmeans/kdd_cup', '']",32.54293721973094,35.68,11.61132,5,2.322264,0.0008,10.96478,[CUDA memcpy,"Device ""Tesla K40c (0)""",28,63767.0,63547.0,66401.0
13,/home/st1289/rodinia_3.1/cuda/srad/srad_v2,"['./srad', '2048', '2048', '0', '127', '0', '127', '0.5', '2']",11.879441420796335,34.91,4.147113,2,2.073556,2.021972,2.125141,[CUDA memcpy,"Device ""Tesla K40c (0)""",10,72237.7,63752.0,77906.0
14,/home/st1289/rodinia_3.1/cuda/leukocyte/CUDA,"['./leukocyte', '../../../data/leukocyte/testfile.avi', '10']",183.3793967226803,95.81,175.6958,10,17.56958,16.9982,18.10996,"IMGVF_kernel(float**, float**, int*, int*, float, float, float, int,","Device ""Tesla K40c (0)""",13,79426.85,63752.0,92671.0
15,/home/st1289/rodinia_3.1/cuda/lavaMD,"['./lavaMD', '-boxes1d', '10']",18.9048190190619,93.38,17.65332,1,17.65332,17.65332,17.65332,"kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*,","Device ""Tesla K40c (0)""",4,65544.75,63847.0,68937.0
16,/home/st1289/rodinia_3.1/cuda/hotspot3D,"['./3D', '512', '8', '100', '../../data/hotspot3D/power_512x8', '../../data/hotspot3D/temp_512x8', 'output.out']",32.45757821552723,86.3,28.01089,100,0.280108,0.279394,0.282274,"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float,","Device ""Tesla K40c (0)""",94,78760.76,64320.0,99695.0
17,/home/st1289/rodinia_3.1/cuda/nn,"['./nn', 'filelist_4', '-r', '5', '-lat', '30', '-lng', '90']",0.0603842213114754,58.56,0.035361,1,0.035361,0.035361,0.035361,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65030.25,63752.0,67351.0
18,/home/st1289/rodinia_3.1/cuda/bfs,"['./bfs', '../../data/bfs/graph1MW_6.txt']",12.138536264562195,53.22,6.460129,12,0.538344,0.037984,3.145952,"Kernel(Node*, int*, bool*, bool*, bool*, int*,","Device ""Tesla K40c (0)""",8,72657.5,63941.0,79388.0
19,/home/st1289/rodinia_3.1/cuda/srad/srad_v1,"['./srad', '100', '0.5', '502', '458']",21.652143314139476,46.89,10.15269,200,0.050763,0.045217,0.056448,"reduce(long, int, int, float*,","Device ""Tesla K40c (0)""",5,71876.4,63847.0,90214.0
20,/home/st1289/rodinia_3.1/cuda/streamcluster,"['./sc_gpu', '10', '20', '256', '65536', '65536', '1000', 'none', 'output.txt', '1']",1468.699153305711,55.51,815.2749,1611,0.506067,0.483779,0.522948,"kernel_compute_cost(int, int, long, Point*, int, int, float*, float*, int*,","Device ""Tesla K40c (0)""",97,91135.21,63850.0,102785.0
21,/home/st1289/rodinia_3.1/cuda/nw,"['./needle', '2048', '10']",13.132982954545456,31.68,4.160529,1,4.160529,4.160529,4.160529,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65479.5,63941.0,68676.0
22,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/fvcorr.domn.097K', '', '', '']",1607.0124178232286,82.14,1320.0,6000,0.220618,0.217922,0.25293,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",78,103307.38,63847.0,137473.0
