,benchmark,run,total_time,top_kernel_time_percent,top_kernel_time_ms,top_kernel_calls,top_kernel_avg,top_kernel_min,top_kernel_max,top_kernel_sig,device,power_profiling_count,avg_mW,min_mW,max_mW
0,/home/st1289/rodinia_3.1/cuda/lavaMD,"['./lavaMD', '-boxes1d', '10']",19.86348290598291,93.6,18.59222,1,18.59222,18.59222,18.59222,"kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*,","Device ""Tesla K40c (0)""",5,70740.4,63657.0,94055.0
1,/home/st1289/rodinia_3.1/cuda/streamcluster,"['./sc_gpu', '10', '20', '256', '65536', '65536', '1000', 'none', 'output.txt', '1']",1473.3853359755,55.51,817.8762,1611,0.507682,0.485764,0.52538,"kernel_compute_cost(int, int, long, Point*, int, int, float*, float*, int*,","Device ""Tesla K40c (0)""",100,90305.98,63846.0,101958.0
2,/home/st1289/rodinia_3.1/cuda/hotspot3D,"['./3D', '512', '8', '100', '../../data/hotspot3D/power_512x8', '../../data/hotspot3D/temp_512x8', 'output.out']",32.08638185774826,87.31,28.01462,100,0.280146,0.27933,0.281698,"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float,","Device ""Tesla K40c (0)""",89,78214.04,63657.0,98277.0
3,/home/st1289/rodinia_3.1/cuda/heartwall,"['./heartwall', '../../data/heartwall/test.avi', '20']",733.0838612368025,99.45,729.0519,20,36.4526,0.01664,38.41792,,"Device ""Tesla K40c (0)""",24,91916.17,63756.0,107494.0
4,/home/st1289/rodinia_3.1/cuda/b+tree,"['./b+tree.out', 'file', '../../data/b+tree/mil.txt', 'command', '../../data/b+tree/command.txt']",5.162942939030745,76.76,3.963075,15,0.264205,0.00486,1.801584,[CUDA memcpy,"Device ""Tesla K40c (0)""",34,63959.71,63657.0,69128.0
5,/home/st1289/rodinia_3.1/cuda/particlefilter,"['./particlefilter_naive', '-x', '128', '-y', '128', '-z', '10', '-np', '1000']",2.956938169477145,94.29,2.788097,9,0.309788,0.186562,0.355236,"kernel(double*, double*, double*, double*, double*, double*,","Device ""Tesla K40c (0)""",4,65639.5,63941.0,69316.0
6,/home/st1289/rodinia_3.1/cuda/particlefilter,"['./particlefilter_float', '-x', '128', '-y', '128', '-z', '10', '-np', '1000']",8.228795723128869,35.54,2.924514,9,0.324946,0.324868,0.325124,"normalize_weights_kernel(double*, int, double*, double*, double*,","Device ""Tesla K40c (0)""",4,65639.5,63941.0,69505.0
7,/home/st1289/rodinia_3.1/cuda/leukocyte/CUDA,"['./leukocyte', '../../../data/leukocyte/testfile.avi', '10']",181.68482571488207,95.82,174.0904,10,17.40904,16.85059,17.93953,"IMGVF_kernel(float**, float**, int*, int*, float, float, float, int,","Device ""Tesla K40c (0)""",13,79393.31,63944.0,93050.0
8,/home/st1289/rodinia_3.1/cuda/nw,"['./needle', '2048', '10']",12.643233590733592,31.08,3.929517,2,1.964758,1.928502,2.001015,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65781.75,63941.0,70262.0
9,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/fvcorr.domn.097K', '', '', '']",5238.0952380952385,94.5,4950.0,6000,0.824416,0.801351,0.866439,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",146,127111.25,63847.0,145906.0
10,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/fvcorr.domn.193K', '', '', '']",10379.66606402212,94.03,9760.0,6000,1.626314,1.601069,1.667405,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",271,132473.15,64036.0,149199.0
11,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/missile.domn.0.2M', '', '']",12459.085629817338,94.71,11800.0,6000,1.968305,1.936497,2.012338,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",319,127129.88,64605.0,147223.0
12,/home/st1289/rodinia_3.1/cuda/bfs,"['./bfs', '../../data/bfs/graph1MW_6.txt']",12.05269288389513,53.4,6.436138,12,0.536344,0.03776,3.140484,"Kernel(Node*, int*, bool*, bool*, bool*, int*,","Device ""Tesla K40c (0)""",8,73249.12,64319.0,79957.0
13,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', '192.bmp', '-d', '192x192', '-f', '-5', '-l', '3']",0.24539116963594115,38.73,0.09504,9,0.01056,0.00854,0.01456,"void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int,","Device ""Tesla K40c (0)""",4,66705.0,64793.0,70736.0
14,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', 'rgb.bmp', '-d', '1024x1024', '-f', '-5', '-l', '3']",2.4956013815522144,49.22,1.228335,3,0.409445,0.407749,0.411973,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65954.0,64699.0,68299.0
15,/home/st1289/rodinia_3.1/cuda/srad/srad_v1,"['./srad', '100', '0.5', '502', '458']",21.62573498082659,46.94,10.15112,200,0.050755,0.045281,0.056577,"reduce(long, int, int, float*,","Device ""Tesla K40c (0)""",6,71968.67,63661.0,87758.0
16,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-f', '../../data/gaussian/matrix4.txt']",0.02630651790957134,34.06,0.00896,3,0.00299,0.00234,0.00426,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",4,66072.25,64605.0,69246.0
17,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-s', '16']",0.08403685827117156,45.58,0.038304,15,0.00255,0.00234,0.00355,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",4,65716.5,64510.0,68013.0
18,/home/st1289/rodinia_3.1/cuda/kmeans,"['./kmeans', '-o', '-i', '../../data/kmeans/kdd_cup', '']",32.31024922990759,35.71,11.53799,5,2.307597,0.0008,10.89528,[CUDA memcpy,"Device ""Tesla K40c (0)""",28,64398.32,64130.0,67536.0
19,/home/st1289/rodinia_3.1/cuda/hybridsort,"['./hybridsort', 'r']",125.61540103147784,56.23,70.63354,44,1.605307,0.228898,2.560894,"mergeSortPass(float4*, int,","Device ""Tesla K40c (0)""",7,78856.57,64699.0,102174.0
20,/home/st1289/rodinia_3.1/cuda/hotspot,"['./hotspot', '512', '2', '2', '../../data/hotspot/temp_512', '../../data/hotspot/power_512', 'output.out']",0.41594567200486526,49.33,0.205186,2,0.102593,0.102017,0.103169,[CUDA memcpy,"Device ""Tesla K40c (0)""",9,72225.0,64320.0,78475.0
21,/home/st1289/rodinia_3.1/cuda/myocyte,"['./myocyte.out', '100', '1', '0']",338.2905021950959,93.39,315.9295,3900,0.081007,0.077537,0.106145,"kernel(int, float*, float*, float*,","Device ""Tesla K40c (0)""",55,77132.91,63657.0,78637.0
22,/home/st1289/rodinia_3.1/cuda/srad/srad_v2,"['./srad', '2048', '2048', '0', '127', '0', '127', '0.5', '2']",11.869925522772846,34.91,4.143791,2,2.071895,2.027543,2.116248,[CUDA memcpy,"Device ""Tesla K40c (0)""",10,72704.5,64319.0,78732.0
23,/home/st1289/rodinia_3.1/cuda/backprop,"['./backprop', '65536']",2.636539249146758,58.6,1.545012,5,0.309002,0.00122,0.538887,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,66942.0,64985.0,71587.0
24,/home/st1289/rodinia_3.1/cuda/nn,"['./nn', 'filelist_4', '-r', '5', '-lat', '30', '-lng', '90']",0.06012582894065635,58.81,0.03536,1,0.03536,0.03536,0.03536,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65503.25,64224.0,67824.0
